NetInventory,Cost,Demand,Ordering
0,0,0,0
-8.617,110.4,8.617,31.04
-21.28,68.97,12.67,8.801
-0.4308,38.36,10.19,12.5
-4.613,39.97,12.98,10.25
-6.82,52.4,14.71,12.92
-9.314,62.72,12.74,14.7
-6.613,51.48,10.22,12.75
1.785,32.62,6.3,10.28
1.317,21.67,13.22,6.785
0.5407,38.56,11.05,12.67
-5.691,44.63,13.02,11.08
-3.659,46.27,10.64,12.98
0.727,32.79,6.699,10.69
3.413,24.75,10.3,7.113
2.809,32.57,11.29,9.92
-0.2308,34.18,10.15,11.24
3.149,33.49,6.54,10.11
10.01,25.56,4.381,5.186
10.25,10.25,9.873,0
6.036,6.036,9.395,0
