Period,InventoryPosition,NetInventory,Cost,Demand,Ordering,HoldingCost,BackloggingCost,AccumulativeCost,AccumulativeDemand,AccumulativeOrdering,AccumulativeHoldingCost,AccumulativeBackloggingCost
0,0,0,0,0,0,0,0,0,0,0,0,0
1,254.3,34.85,937,34.85,289.1,0,69.7,937,34.85,289.1,0,69.7
2,278.3,75,342.6,40.15,64.2,0,150,1280,75,353.3,0,219.7
3,304.9,120.3,456.5,45.35,71.95,0,240.7,1736,120.3,425.2,0,460.4
4,330.3,171.2,571.4,50.9,76.3,0,342.5,2308,171.2,501.6,0,802.9
5,359.2,226.5,705.7,55.3,84.2,0,453.1,3013,226.5,585.8,0,1256
6,380.5,9.8,258.6,60.35,81.65,6,7.6,3272,286.9,667.4,6,1264
7,405.5,11.7,289.6,65.8,90.8,6.15,11.1,3561,352.7,758.2,12.15,1275
8,433.4,12.55,313.2,70.5,98.45,7.3,10.5,3875,423.2,856.7,19.45,1285
9,456.1,15.3,317.4,75.85,98.55,8.9,12.8,4192,499.1,955.2,28.35,1298
10,484,11.85,339.7,80.45,108.4,9.05,5.6,4532,579.5,1064,37.4,1304
11,506.6,12.7,341.5,85.4,107.9,7.6,10.2,4873,664.9,1171,45,1314
12,531.4,12.55,362.1,90.15,115,7.85,9.4,5235,755.1,1286,52.85,1323
13,554.6,13.45,373,95.35,118.6,9.85,7.2,5608,850.4,1405,62.7,1330
14,580.4,14.05,398.9,100.9,126.6,9,10.1,6007,951.2,1532,71.7,1340
15,609.1,12.3,416.4,105.2,133.9,9.7,5.2,6424,1056,1666,81.4,1346
16,630,12.2,410.1,110.4,131.3,8.4,7.6,6834,1167,1797,89.8,1353
17,656.2,12,440.5,115.3,141.6,8.1,7.8,7274,1282,1938,97.9,1361
18,681.4,10.5,449.6,120,145.1,6.7,7.6,7724,1402,2084,104.6,1369
19,703.3,12.3,459,125.6,147.5,8.1,8.4,8183,1528,2231,112.7,1377
20,732,10.3,490.8,130.8,159.6,8.6,3.4,8674,1659,2391,121.3,1380
21,758.9,9.2,499.1,135.3,162.2,6.05,6.3,9173,1794,2553,127.4,1387
22,781,11.5,502.2,140.2,162.4,7.85,7.3,9675,1934,2715,135.2,1394
