Period,InventoryPosition,NetInventory,Cost,Demand,Ordering,HoldingCost,BackloggingCost,AccumulativeCost,AccumulativeDemand,AccumulativeOrdering,AccumulativeHolding Cost,AccumulativeBacklogging Cost
0,0,0,0,0,0,0,0,0,0,0,0,0
1,254,35.14,937.8,35.14,289.2,0,70.28,937.8,35.14,289.2,0,70.28
2,279.9,75.26,348.5,40.12,65.98,0,150.5,1286,75.26,355.1,0,220.8
3,268.1,117.7,327.5,42.45,30.68,0,235.4,1614,117.7,385.8,0,456.2
4,263.4,161.7,441.2,43.98,39.27,0,323.4,2055,161.7,425.1,0,779.6
5,274.8,208.9,593.6,47.21,58.61,0,417.8,2648,208.9,483.7,0,1197
6,287.3,30.67,217.1,49.64,62.12,30.65,0.04385,2866,258.5,545.8,30.65,1197
7,300.1,44.53,239.1,52.09,64.86,44.53,0,3105,310.6,610.7,75.18,1197
8,313.4,20.88,223.7,54.33,67.61,20.88,0,3328,364.9,678.3,96.06,1197
9,324.9,7.543,214.9,56.82,68.41,5.437,4.213,3543,421.8,746.7,101.5,1202
10,336.9,7.681,223.8,59.25,71.21,5.188,4.985,3767,481,817.9,106.7,1207
11,348.6,5.873,228.7,62.04,73.75,4.324,3.098,3996,543.1,891.7,111,1210
12,362.3,5.64,239.8,64.06,77.71,4.607,2.065,4235,607.1,969.4,115.6,1212
13,373.6,6.902,242.9,66.92,78.23,5.58,2.644,4478,674,1048,121.2,1214
14,386.1,6.242,254.8,69.76,82.28,4.572,3.339,4733,743.8,1130,125.8,1218
15,399.6,6.423,266.6,72.41,85.93,4.062,4.722,5000,816.2,1216,129.8,1222
16,413.3,6.859,277,75.27,88.93,3.519,6.68,5277,891.5,1305,133.4,1229
17,427.9,7.4,286.7,77.3,91.97,3.996,6.808,5563,968.8,1397,137.3,1236
18,439.5,6.703,286.3,80.25,91.85,2.635,8.135,5850,1049,1489,140,1244
19,452.6,6.745,299.1,82.9,95.98,2.35,8.789,6149,1132,1585,142.3,1253
20,466.1,7.142,307.6,85.27,98.72,2.881,8.523,6456,1217,1683,145.2,1261
21,479,6.854,312.5,87.8,100.7,3.302,7.103,6769,1305,1784,148.5,1268
22,491.4,6.512,317.4,90.39,102.8,3.923,5.179,7086,1395,1887,152.4,1274
23,504.6,6.705,326.3,92.29,105.6,3.799,5.811,7413,1488,1992,156.2,1279
24,515.1,5.743,325.3,95.36,105.8,3.629,4.228,7738,1583,2098,159.9,1284
25,528.7,6.986,341.6,97.22,110.9,5.001,3.97,8079,1680,2209,164.9,1288
26,539.3,8.276,343.5,100.4,110.9,5.818,4.916,8423,1781,2320,170.7,1293
27,552.8,7.544,359.1,102.9,116.5,5.389,4.312,8782,1884,2436,176.1,1297
28,565.8,5.784,363.1,105.7,118.6,4.427,2.715,9145,1989,2555,180.5,1300
29,580.1,5.872,375.7,108.1,122.4,3.326,5.093,9521,2097,2677,183.8,1305
30,593.3,6.876,380,110.3,123.5,4.118,5.516,9901,2208,2801,187.9,1310
31,605,6.357,383.2,112.7,124.5,2.937,6.841,1.03E+04,2320,2925,190.9,1317
32,616.6,7.096,390.9,115.3,126.9,3.913,6.367,1.07E+04,2436,3052,194.8,1323
33,628.5,7.697,400.6,118,129.9,4.514,6.367,1.11E+04,2554,3182,199.3,1330
34,642.2,9.563,413.9,120.1,133.8,6.6,5.926,1.15E+04,2674,3316,205.9,1336
