Period,InventoryPosition,NetInventory,Cost,Demand,Ordering,HoldingCost,BackloggingCost,AccumulativeCost,AccumulativeDemand,AccumulativeOrdering,AccumulativeHolding Cost,AccumulativeBacklogging Cost
0,0,0,0,0,0,0,0,0,0,0,0,0
1,256.1,35.41,945.3,35.41,291.5,0,70.82,945.3,35.41,291.5,0,70.82
2,283.5,75.81,355.2,40.41,67.87,0,151.6,1301,75.81,359.4,0,222.4
3,308.8,120.9,453,45.12,70.38,0,241.9,1754,120.9,429.7,0,464.3
4,332.7,170.5,561.2,49.53,73.41,0,340.9,2315,170.5,503.2,0,805.2
5,354.2,225,677.8,54.49,75.97,0,449.9,2993,225,579.1,0,1255
6,379.6,9.989,264,58.82,84.29,8.854,2.271,3257,283.8,663.4,8.854,1257
7,400.5,15.28,271.5,63.93,84.8,13.47,3.63,3528,347.7,748.2,22.32,1261
8,426.4,15.71,300.6,68.65,94.58,14.55,2.326,3829,416.4,842.8,36.87,1263
9,449.3,18.12,311.6,74.05,96.94,15.43,5.371,4140,490.4,939.7,52.3,1269
10,476.9,13.79,335.3,78.95,106.5,11.78,4.029,4476,569.4,1046,64.08,1273
11,501,14.13,341.2,84.17,108.3,12.01,4.253,4817,653.5,1155,76.08,1277
12,526.8,11.48,361.4,89.74,115.5,8.213,6.542,5178,743.3,1270,84.3,1284
13,555.4,12.54,385.8,94.57,123.1,8.744,7.597,5564,837.8,1393,93.04,1291
14,579.3,14.1,390.7,99.68,123.6,8.154,11.89,5955,937.5,1517,101.2,1303
15,605.7,14.59,410.4,103.9,130.3,9.713,9.751,6365,1041,1647,110.9,1313
16,626,10.28,400.2,108.7,129,7.354,5.85,6765,1150,1776,118.3,1319
17,649.6,13.14,430.3,114.2,137.8,9.429,7.42,7196,1264,1914,127.7,1326
18,678,10.91,453.7,119,147.4,10.4,1.017,7649,1383,2061,138.1,1327
19,701.3,10.71,453.4,124,147.3,10.07,1.288,8103,1507,2209,148.2,1328
20,726.8,11.56,474.9,128.8,154.3,11.25,0.6353,8577,1636,2363,159.4,1329
21,751,9.606,483.7,133.3,157.5,8.099,3.015,9061,1770,2521,167.5,1332
22,773.2,14.11,499.8,138.4,160.6,10.08,8.069,9561,1908,2681,177.6,1340
23,798,13,519.8,143.6,168.4,11.41,3.183,1.01E+04,2052,2849,189,1343
24,824.9,11.88,539.6,148.5,175.4,10.29,3.18,1.06E+04,2200,3025,199.3,1346
25,849.1,12.41,545.9,153.1,177.4,11.15,2.529,1.12E+04,2353,3202,210.4,1349
26,872.2,13.28,559,158.1,181.2,11.28,3.998,1.17E+04,2511,3383,221.7,1353
27,896.8,12.07,579.1,163.5,188,9.193,5.75,1.23E+04,2675,3572,230.9,1359
28,923.9,9.79,599.1,168.7,195.8,7.919,3.742,1.29E+04,2843,3767,238.8,1362
29,949.4,10.09,610.4,174.2,199.6,8.673,2.829,1.35E+04,3018,3967,247.5,1365
30,977.6,10.02,633.2,178.8,207,7.931,4.187,1.42E+04,3196,4174,255.4,1370
31,1000,9.153,632.8,184.2,206.8,6.014,6.278,1.48E+04,3381,4381,261.4,1376
32,1028,10.48,664.1,188.8,216.5,6.322,8.321,1.54E+04,3569,4597,267.8,1384
33,1050,12.33,664.4,193.6,216,8.369,7.917,1.61E+04,3763,4813,276.1,1392
34,1074,11.92,682.8,198.9,222.5,8.53,6.776,1.68E+04,3962,5036,284.7,1399
35,1101,13.96,709.2,203.9,230.8,11.1,5.73,1.75E+04,4166,5267,295.8,1405
36,1126,13.53,720.5,209.6,234.3,9.482,8.096,1.82E+04,4375,5501,305.2,1413
