DemandMY,CostMY,OrderingMY,NetInventoryMY,AccumulativeCostMY,DemandDB,CostDB,OrderingDB,NetInventoryDB,AccumulativeCostDB
0,0,0,0,0,0,0,0,0,0
20.38,4.195,21.36,3.125,4.195,20.01,5.72,17.15,2.86,5.72
0,2.055,1.07,2.055,6.25,0,6.17E-08,2.86,3.09E-08,5.72
0,2.055,4.09E-16,2.055,8.304,0,1.75E-08,2.27E-08,9.01E-09,5.72
0,2.055,4.09E-16,2.055,10.36,0,3.35E-09,8.94E-09,2.55E-09,5.72
0,2.055,4.09E-16,2.055,12.41,0,5.42E-09,4.47E-09,5.42E-09,5.72
0,2.055,4.09E-16,2.055,14.47,0,9.14E-09,3.73E-09,9.14E-09,5.72
0,2.055,4.09E-16,2.055,16.52,0,1.29E-08,3.73E-09,1.29E-08,5.72
0,2.055,4.09E-16,2.055,18.58,0,2.03E-08,7.45E-09,2.03E-08,5.72
0,2.055,4.09E-16,2.055,20.63,0,2.78E-08,7.45E-09,2.78E-08,5.72
0,2.055,4.09E-16,2.055,22.69,0,3.52E-08,7.45E-09,3.52E-08,5.72
0,2.055,4.09E-16,2.055,24.74,0,4.27E-08,7.45E-09,4.27E-08,5.72
0,2.055,4.09E-16,2.055,26.8,0,5.01E-08,7.45E-09,5.01E-08,5.72
0,2.055,4.09E-16,2.055,28.85,0,5.76E-08,7.45E-09,5.76E-08,5.72
0,2.055,4.09E-16,2.055,30.91,0,6.50E-08,7.45E-09,6.50E-08,5.72
0,2.055,4.09E-16,2.055,32.96,0,7.99E-08,1.49E-08,7.99E-08,5.72
0,2.055,4.09E-16,2.055,35.02,0,9.48E-08,1.49E-08,9.48E-08,5.72
0,2.055,4.09E-16,2.055,37.07,0,1.10E-07,1.49E-08,1.10E-07,5.72
0,2.055,4.09E-16,2.055,39.13,0,1.40E-07,2.98E-08,1.40E-07,5.72
0,2.055,4.09E-16,2.055,41.18,0,1.69E-07,2.98E-08,1.69E-07,5.72
0,2.055,4.09E-16,2.055,43.24,0,2.29E-07,5.96E-08,2.29E-07,5.72
18.96,3.926,19.31,3.419,47.16,20.02,6.002,17.15,3.044,11.72
0,2.912,0.5072,2.912,50.07,0,0.086,2.958,0.086,11.81
0,2.912,9.41E-08,2.912,52.98,0,0.086,2.09E-08,0.086,11.89
0,2.912,5.09E-16,2.912,55.9,0,0.086,7.82E-09,0.086,11.98
0,2.912,5.09E-16,2.912,58.81,0,0.086,3.73E-09,0.086,12.07
0,2.912,5.09E-16,2.912,61.72,0,0.086,3.73E-09,0.086,12.15
0,2.912,5.09E-16,2.912,64.63,0,0.086,3.73E-09,0.086,12.24
0,2.912,5.09E-16,2.912,67.54,0,0.086,7.45E-09,0.086,12.32
0,2.912,5.09E-16,2.912,70.45,0,0.086,7.45E-09,0.086,12.41
0,2.912,5.09E-16,2.912,73.37,0,0.086,7.45E-09,0.086,12.5
0,2.912,5.09E-16,2.912,76.28,0,0.086,7.45E-09,0.086,12.58
0,2.912,5.09E-16,2.912,79.19,0,0.086,7.45E-09,0.086,12.67
0,2.912,5.09E-16,2.912,82.1,0,0.086,7.45E-09,0.086,12.75
0,2.912,5.09E-16,2.912,85.01,0,0.086,7.45E-09,0.086,12.84
0,2.912,5.09E-16,2.912,87.92,0,0.086,1.49E-08,0.086,12.93
0,2.912,5.09E-16,2.912,90.84,0,0.086,1.49E-08,0.086,13.01
0,2.912,5.09E-16,2.912,93.75,0,0.086,1.49E-08,0.086,13.1
0,2.912,5.09E-16,2.912,96.66,0,0.086,2.98E-08,0.086,13.18
0,2.912,5.09E-16,2.912,99.57,0,0.086,2.98E-08,0.086,13.27
0,2.912,5.09E-16,2.912,102.5,0,0.086,5.96E-08,0.086,13.36
20.11,3.272,18.45,2.597,105.8,21.89,9.733,17.06,4.908,23.09
0,1.923,0.6746,1.923,107.7,0,0.08347,4.825,0.08347,23.17
0,1.923,1.00E-06,1.923,109.6,0,0.08347,1.30E-08,0.08347,23.26
0,1.923,3.33E-16,1.923,111.5,0,0.08347,5.96E-09,0.08347,23.34
0,1.923,3.33E-16,1.923,113.4,0,0.08347,3.73E-09,0.08347,23.42
0,1.923,3.33E-16,1.923,115.4,0,0.08347,3.73E-09,0.08347,23.51
0,1.923,3.33E-16,1.923,117.3,0,0.08347,3.73E-09,0.08347,23.59
0,1.923,3.33E-16,1.923,119.2,0,0.08347,7.45E-09,0.08347,23.67
0,1.923,3.33E-16,1.923,121.1,0,0.08347,7.45E-09,0.08347,23.76
0,1.923,3.33E-16,1.923,123.1,0,0.08347,7.45E-09,0.08347,23.84
0,1.923,3.33E-16,1.923,125,0,0.08347,7.45E-09,0.08347,23.92
0,1.923,3.33E-16,1.923,126.9,0,0.08347,7.45E-09,0.08347,24.01
0,1.923,3.33E-16,1.923,128.8,0,0.08347,7.45E-09,0.08347,24.09
0,1.923,3.33E-16,1.923,130.7,0,0.08347,7.45E-09,0.08347,24.17
0,1.923,3.33E-16,1.923,132.7,0,0.08347,1.49E-08,0.08347,24.26
0,1.923,3.33E-16,1.923,134.6,0,0.08347,1.49E-08,0.08347,24.34
0,1.923,3.33E-16,1.923,136.5,0,0.08347,1.49E-08,0.08347,24.42
0,1.923,3.33E-16,1.923,138.4,0,0.08347,2.98E-08,0.08347,24.51
0,1.923,3.33E-16,1.923,140.4,0,0.08347,2.98E-08,0.08347,24.59
0,1.923,3.33E-16,1.923,142.3,0,0.08347,5.96E-08,0.08347,24.68
19.43,2.398,19.44,2.243,144.7,20.33,7.38,17.07,3.861,32.06
0,2.087,0.1555,2.087,146.8,0,0.3409,3.52,0.3409,32.4
0,2.087,4.62E-16,2.087,148.9,0,0.3409,1.34E-08,0.3409,32.74
0,2.087,4.62E-16,2.087,150.9,0,0.3409,7.45E-09,0.3409,33.08
0,2.087,4.62E-16,2.087,153,0,0.3409,3.73E-09,0.3409,33.42
0,2.087,4.62E-16,2.087,155.1,0,0.3409,3.73E-09,0.3409,33.76
0,2.087,4.62E-16,2.087,157.2,0,0.3409,3.73E-09,0.3409,34.1
0,2.087,4.62E-16,2.087,159.3,0,0.3409,7.45E-09,0.3409,34.44
0,2.087,4.62E-16,2.087,161.4,0,0.3409,7.45E-09,0.3409,34.78
0,2.087,4.62E-16,2.087,163.5,0,0.3409,7.45E-09,0.3409,35.12
0,2.087,4.62E-16,2.087,165.6,0,0.3409,7.45E-09,0.3409,35.46
0,2.087,4.62E-16,2.087,167.6,0,0.3409,7.45E-09,0.3409,35.81
0,2.087,4.62E-16,2.087,169.7,0,0.3409,7.45E-09,0.3409,36.15
0,2.087,4.62E-16,2.087,171.8,0,0.3409,7.45E-09,0.3409,36.49
0,2.087,4.62E-16,2.087,173.9,0,0.3409,1.49E-08,0.3409,36.83
0,2.087,4.62E-16,2.087,176,0,0.3409,1.49E-08,0.3409,37.17
0,2.087,4.62E-16,2.087,178.1,0,0.3409,1.49E-08,0.3409,37.51
0,2.087,4.62E-16,2.087,180.2,0,0.3409,2.98E-08,0.3409,37.85
0,2.087,4.62E-16,2.087,182.3,0,0.3409,2.98E-08,0.3409,38.19
0,2.087,4.62E-16,2.087,184.3,0,0.3409,5.96E-08,0.3409,38.53
18.19,3.169,19.27,3.169,187.5,18.95,3.847,16.81,1.966,42.38
0,3.169,6.18E-16,3.169,190.7,0,0.08519,1.881,0.08519,42.46
0,3.169,6.18E-16,3.169,193.8,0,0.08519,1.23E-08,0.08519,42.55
0,3.169,6.18E-16,3.169,197,0,0.08519,5.59E-09,0.08519,42.64
0,3.169,6.18E-16,3.169,200.2,0,0.08519,4.10E-09,0.08519,42.72
0,3.169,6.18E-16,3.169,203.4,0,0.08519,3.73E-09,0.08519,42.81
0,3.169,6.18E-16,3.169,206.5,0,0.08519,3.73E-09,0.08519,42.89
0,3.169,6.18E-16,3.169,209.7,0,0.08519,7.45E-09,0.08519,42.98
0,3.169,6.18E-16,3.169,212.9,0,0.08519,7.45E-09,0.08519,43.06
0,3.169,6.18E-16,3.169,216,0,0.08519,7.45E-09,0.08519,43.15
0,3.169,6.18E-16,3.169,219.2,0,0.08519,7.45E-09,0.08519,43.23
0,3.169,6.18E-16,3.169,222.4,0,0.08519,7.45E-09,0.08519,43.32
0,3.169,6.18E-16,3.169,225.5,0,0.08519,7.45E-09,0.08519,43.4
0,3.169,6.18E-16,3.169,228.7,0,0.08519,7.45E-09,0.08519,43.49
0,3.169,6.18E-16,3.169,231.9,0,0.08519,1.49E-08,0.08519,43.57
0,3.169,6.18E-16,3.169,235,0,0.08519,1.49E-08,0.08519,43.66
0,3.169,6.18E-16,3.169,238.2,0,0.08519,1.49E-08,0.08519,43.74
0,3.169,6.18E-16,3.169,241.4,0,0.08519,2.98E-08,0.08519,43.83
0,3.169,6.18E-16,3.169,244.6,0,0.08519,2.98E-08,0.08519,43.91
0,3.169,6.18E-16,3.169,247.7,0,0.08519,5.96E-08,0.08519,44
21.48,3.344,18.19,2.189,251.1,18.96,5.691,17.06,3.189,49.69
0,1.034,1.155,1.034,252.1,0,0.6873,2.502,0.6873,50.38
0,1.034,2.29E-16,1.034,253.1,0,0.6873,1.19E-08,0.6873,51.06
0,1.034,2.29E-16,1.034,254.2,0,0.6873,6.33E-09,0.6873,51.75
0,1.034,2.29E-16,1.034,255.2,0,0.6873,3.73E-09,0.6873,52.44
0,1.034,2.29E-16,1.034,256.2,0,0.6873,3.73E-09,0.6873,53.13
0,1.034,2.29E-16,1.034,257.3,0,0.6873,3.73E-09,0.6873,53.81
0,1.034,2.29E-16,1.034,258.3,0,0.6873,7.45E-09,0.6873,54.5
0,1.034,2.29E-16,1.034,259.3,0,0.6873,7.45E-09,0.6873,55.19
0,1.034,2.29E-16,1.034,260.4,0,0.6873,7.45E-09,0.6873,55.87
0,1.034,2.29E-16,1.034,261.4,0,0.6873,7.45E-09,0.6873,56.56
0,1.034,2.29E-16,1.034,262.4,0,0.6873,7.45E-09,0.6873,57.25
0,1.034,2.29E-16,1.034,263.5,0,0.6873,7.45E-09,0.6873,57.94
0,1.034,2.29E-16,1.034,264.5,0,0.6873,7.45E-09,0.6873,58.62
0,1.034,2.29E-16,1.034,265.5,0,0.6873,1.49E-08,0.6873,59.31
0,1.034,2.29E-16,1.034,266.6,0,0.6873,1.49E-08,0.6873,60
0,1.034,2.29E-16,1.034,267.6,0,0.6873,1.49E-08,0.6873,60.69
0,1.034,2.29E-16,1.034,268.6,0,0.6873,2.98E-08,0.6873,61.37
