NetInventory0,NetInventory20,NetInventory40,NetInventory60
0,20,40,60
24.99,4.853,15.12,34.99
55.09,34.59,14.83,5.31
90.12,69.82,49.14,30.25
130.3,110.2,87.91,70.89
175.4,154.5,131.8,116.5
14.96,11.58,15.21,12.49
11,9.386,14.91,11.27
13.72,9.43,14.9,9.695
12.19,11.46,12.22,9.405
13.28,13.12,11.9,13.2
13.71,10.99,11.48,15.09
15.91,12,11.54,14.23
14.64,14.15,13.12,13.2
12.7,13.92,15.78,15.86
13.23,15.21,16.75,15.85
14.17,13.66,12.95,14.12
14.74,10.69,12.22,12.38
14.75,12.17,10.09,11.38
15.12,12.54,11.89,10.43
13.1,11.75,14.21,11.15
9.597,14.55,15.34,10.89
9.542,14.19,14.35,15.96
10.02,14.24,12.81,18.86
9.785,15.04,13.37,15.71
8.666,10.21,14.94,12.74
8.879,9.921,13.8,14.25
8.465,10.37,15.49,12.6
11,10.02,15.11,12.58
11.58,11.48,12.7,13.22
13.94,14.2,12.02,16.19
