LeadTime2,LeadTime4,LeadTime6,LeadTime8
0,0,0,0
25.3,25.66,25.09,25.12
55.41,56.77,55.12,54.68
4.303,92.27,90.33,89.8
5.186,133,130.6,130.4
5.746,9.785,176.4,175.8
4.493,9.818,226.5,226.5
5.855,10.77,16.34,281.7
5.424,9.479,13.64,341.6
6.506,8.27,12.33,23.51
4.804,9.774,14.36,22.63
4.249,8.425,15.7,21.73
4.634,8.668,17.84,22.42
4.577,8.345,16.43,24.66
5.436,9.257,14.71,24.58
4.601,9.816,15.96,24.27
5.371,7.648,17.72,22.39
3.983,10.53,19.39,21.63
5.087,7.916,19.5,16.85
3.281,8.371,17.63,18.68
4.898,7.867,16.49,17.79
4.655,7.435,15.26,22.45
4.879,9.643,13.61,22.82
4.145,7.557,11.56,25.15
4.307,8.43,13.32,23.53
5.743,8.579,12.78,24.36
5.2,8.518,15.89,26.53
5.612,8.706,14.09,22.42
5.077,10.38,14,22.48
4.232,12.97,12.64,15.92
5.317,8.322,16.28,20.91
