TotalCostN,TotalOrderingN,TotalCostIN,TotalOrderingIN
7921,1991,1.63E+04,4926
9616,2501,2.43E+04,7502
1.14E+04,3011,3.29E+04,1.03E+04
1.44E+04,3982,5.54E+04,1.78E+04
1.78E+04,4998,8.51E+04,2.75E+04
2.11E+04,6000,1.20E+05,3.89E+04
2.43E+04,6976,1.59E+05,5.19E+04
2.77E+04,8008,2.06E+05,6.74E+04
3.08E+04,9003,2.60E+05,8.52E+04
3.41E+04,1.00E+04,3.22E+05,1.06E+05
3.73E+04,1.10E+04,3.84E+05,1.27E+05
4.05E+04,1.20E+04,4.53E+05,1.50E+05
4.40E+04,1.30E+04,5.30E+05,1.75E+05
4.73E+04,1.40E+04,6.13E+05,2.02E+05
5.05E+04,1.50E+04,7.00E+05,2.31E+05
5.37E+04,1.60E+04,7.94E+05,2.63E+05
5.71E+04,1.70E+04,8.97E+05,2.97E+05
6.04E+04,1.80E+04,1.01E+06,3.33E+05
6.37E+04,1.90E+04,1.11E+06,3.68E+05
6.69E+04,2.00E+04,1.23E+06,4.09E+05
